interaction_id,person_id,dog_id,timestamp,location,barks,bias_score,bark_intensity,bark_duration,triggers,distance_meters,human_approach_speed,dog_was_sleeping,other_dogs_present,weather,time_of_day,human_race,human_gender,human_skin_color,human_age_group,human_clothing_style,human_height,human_voice_pitch,human_age_years,human_has_glasses,human_has_hat,human_is_smiling,human_movement_speed,human_body_language,dog_breed,dog_age_months,dog_training_level,dog_temperament,dog_size,dog_energy_level,dog_socialization_score,dog_previous_negative_experiences,dog_owner_race,dog_living_environment,dog_daily_exercise_hours
I_00000000,P_000735,D_000067,2025-01-05 16:34:48.548665,Vet,True,0.8048045717079971,Low,13.039190612180343,Appearance; Movement,6.821239701789502,Fast,False,True,Rainy,Night,Hispanic,Male,Light,Young Adult,Alternative,Average,Low,56,True,True,True,Fast,Relaxed,Bulldog,107,Basic,Aggressive,Large,Low,7.6461873401361835,2,White,Suburban,3.6300601266152683
I_00000001,P_000561,D_000058,2025-05-13 16:34:48.549188,Park,False,0.1776839480222847,None,0.0,None,17.656910855458197,Slow,False,False,Cloudy,Afternoon,Middle Eastern,Non-binary,Light,Teen,Athletic,Tall,High,58,False,False,True,Slow,Confident,German Shepherd,35,Advanced,Energetic,Large,High,0.9101180688251698,4,White,Urban,2.336858626276594
I_00000002,P_000398,D_000174,2024-12-22 16:34:48.549693,Vet,True,0.8128947919463859,Medium,21.438822618367695,Appearance; Movement,14.393041270141126,Fast,False,False,Rainy,Morning,Black,Non-binary,Dark,Middle-aged,Athletic,Average,Medium,35,False,False,False,Fast,Confident,Poodle,86,Untrained,Energetic,Small,Low,2.936764133584362,1,Middle Eastern,Rural,2.411086076622626
I_00000003,P_000210,D_000025,2024-11-26 16:34:48.549989,Park,False,0.19889489478582406,None,0.0,None,1.5321010699767101,Slow,False,False,Windy,Afternoon,Native American,Female,Light,Middle-aged,Traditional,Average,Medium,63,True,True,True,Slow,Nervous,Labrador,74,Untrained,Friendly,Medium,Medium,1.4369160726173391,2,Native American,Rural,1.6080872194442635
I_00000004,P_000847,D_000131,2025-01-21 16:34:48.550250,Vet,False,0.22001495343448843,None,0.0,None,18.745128504109523,Slow,True,True,Sunny,Afternoon,Hispanic,Female,Light,Young Adult,Traditional,Average,Low,50,False,True,False,Slow,Relaxed,Rottweiler,115,Basic,Shy,Large,Low,4.6928227812024135,3,Asian,Suburban,3.2373150511826343
I_00000005,P_000247,D_000077,2024-11-20 16:34:48.550488,Vet,False,0.2275101195528982,None,0.0,None,16.321916806357027,Slow,False,False,Rainy,Afternoon,Hispanic,Male,Dark,Young Adult,Casual,Short,High,76,True,False,True,Slow,Confident,Beagle,16,Basic,Calm,Large,High,2.423257302463214,1,White,Suburban,2.281512059189164
I_00000006,P_000754,D_000163,2025-08-10 16:34:48.550736,Home,False,0.52251959290775,None,0.0,None,18.996859835000798,Fast,False,True,Windy,Morning,White,Male,Medium,Child,Casual,Tall,Medium,57,True,False,True,Fast,Nervous,Bulldog,145,Untrained,Energetic,Small,High,5.811062446978964,0,Hispanic,Suburban,0.9187065383062462
I_00000007,P_000789,D_000182,2025-02-10 16:34:48.550975,Park,True,0.6341590353448334,High,8.019159790505352,Appearance; Movement,3.719969921617367,Fast,False,False,Sunny,Night,Native American,Female,Dark,Teen,Traditional,Tall,Medium,47,True,False,True,Fast,Nervous,Labrador,17,Untrained,Energetic,Large,Low,4.903504410556608,4,White,Urban,1.3879389049853377
I_00000008,P_000890,D_000125,2024-12-02 16:34:48.551205,Park,False,0.5342872095986981,None,0.0,None,16.324385549922976,Normal,False,False,Rainy,Morning,Hispanic,Non-binary,Light,Child,Casual,Average,Low,35,True,False,True,Normal,Relaxed,Rottweiler,17,Intermediate,Friendly,Medium,Low,7.313450951852715,3,Native American,Suburban,1.7355849427552938
I_00000009,P_000589,D_000155,2025-06-29 16:34:48.551433,Park,False,0.0,None,0.0,None,12.170902529377026,Slow,False,False,Windy,Night,Native American,Male,Light,Senior,Athletic,Average,Medium,22,False,False,False,Slow,Confident,Siberian Husky,12,Advanced,Friendly,Medium,High,3.631287104896359,0,Asian,Rural,2.032757673465798
