dog_id,breed,age_months,training_level,temperament,size,energy_level,socialization_score,previous_negative_experiences,owner_race,living_environment,daily_exercise_hours
D_000000,Labrador,62,Intermediate,Calm,Medium,High,1.078557761535145,3,Hispanic,Urban,3.9250243820078086
D_000001,Bulldog,99,Intermediate,Energetic,Large,Low,3.0259215266411577,3,White,Suburban,3.9023359762430885
D_000002,German Shepherd,74,Untrained,Calm,Medium,Medium,4.825055913821133,3,White,Rural,1.6186634392782493
D_000003,Labrador,48,Untrained,Shy,Large,Medium,7.044236214774866,2,White,Suburban,1.3839899569819043
D_000004,Labrador,20,Advanced,Aggressive,Small,High,9.903742093546374,2,Middle Eastern,Suburban,2.225622925390717
D_000005,Beagle,58,Basic,Calm,Large,Medium,2.3233554592401817,0,Hispanic,Urban,0.63808183522942
D_000006,Bulldog,160,Advanced,Friendly,Medium,High,5.534295611637274,1,Middle Eastern,Suburban,3.702613482148795
D_000007,Poodle,174,Untrained,Shy,Medium,Medium,5.192800823952713,0,Hispanic,Urban,3.6104262517467944
D_000008,Rottweiler,55,Basic,Friendly,Small,Medium,2.3179027761657967,0,White,Urban,2.0937744709652515
D_000009,Poodle,142,Intermediate,Aggressive,Large,Low,4.184467897162279,0,Black,Suburban,2.116420520962129
D_000010,Siberian Husky,96,Intermediate,Aggressive,Small,High,7.626525587561409,1,Asian,Suburban,3.0465767015666017
D_000011,Golden Retriever,41,Basic,Friendly,Small,High,8.910551938418209,3,Asian,Rural,0.8379266750921079
D_000012,Siberian Husky,97,Untrained,Calm,Small,Medium,0.21647902587247914,0,Hispanic,Suburban,3.610249342770343
D_000013,Siberian Husky,87,Intermediate,Friendly,Small,Low,7.6265348991148425,2,Asian,Suburban,2.32443713838423
D_000014,Golden Retriever,106,Advanced,Aggressive,Medium,Low,9.619776547341258,2,Middle Eastern,Urban,2.2682926723058587
D_000015,Labrador,168,Intermediate,Energetic,Medium,Low,9.764900340442491,4,Native American,Urban,1.6026977381265979
D_000016,Labrador,31,Basic,Energetic,Large,Low,9.650316229099188,4,Native American,Urban,2.409629625495027
D_000017,Labrador,115,Intermediate,Energetic,Small,Low,2.6175286903702366,3,Middle Eastern,Urban,2.5619669110461336
D_000018,Rottweiler,125,Intermediate,Friendly,Small,High,3.47047025953777,0,White,Rural,1.777350156838788
D_000019,German Shepherd,159,Intermediate,Friendly,Large,High,2.6670343063721424,0,Hispanic,Suburban,3.2556404311008835
