person_id,race,gender,skin_color,age_group,clothing_style,height,voice_pitch,age_years,has_glasses,has_hat,is_smiling,movement_speed,body_language
P_000000,Hispanic,Non-binary,Light,Young Adult,Alternative,Short,Low,79,False,False,True,Fast,Tense
P_000001,Middle Eastern,Female,Medium,Teen,Traditional,Short,High,62,False,False,True,Fast,Confident
P_000002,Black,Non-binary,Light,Young Adult,Traditional,Tall,High,7,False,False,True,Normal,Nervous
P_000003,White,Female,Dark,Teen,Casual,Average,High,6,False,False,True,Slow,Nervous
P_000004,Asian,Female,Dark,Middle-aged,Formal,Average,Medium,58,False,True,False,Normal,Nervous
P_000005,Black,Female,Dark,Middle-aged,Casual,Average,High,57,False,False,False,Slow,Relaxed
P_000006,Middle Eastern,Male,Dark,Child,Casual,Tall,High,5,True,True,False,Slow,Nervous
P_000007,Asian,Non-binary,Medium,Senior,Formal,Tall,Medium,45,False,False,True,Slow,Nervous
P_000008,Native American,Non-binary,Light,Middle-aged,Athletic,Tall,High,51,False,False,True,Fast,Tense
P_000009,Asian,Non-binary,Medium,Teen,Formal,Short,Low,67,False,False,True,Normal,Relaxed
P_000010,Middle Eastern,Non-binary,Dark,Senior,Traditional,Short,Low,63,False,False,False,Normal,Relaxed
P_000011,Middle Eastern,Female,Medium,Young Adult,Formal,Tall,High,66,True,False,True,Slow,Relaxed
P_000012,Asian,Non-binary,Light,Child,Alternative,Short,Low,48,True,True,True,Slow,Nervous
P_000013,White,Female,Light,Middle-aged,Traditional,Average,Low,6,False,True,False,Fast,Relaxed
P_000014,Black,Female,Dark,Senior,Casual,Short,Low,6,False,False,True,Fast,Nervous
P_000015,Asian,Male,Medium,Senior,Traditional,Average,Medium,15,False,False,True,Fast,Tense
P_000016,Middle Eastern,Non-binary,Dark,Middle-aged,Athletic,Average,Low,23,False,True,False,Fast,Tense
P_000017,White,Male,Light,Child,Formal,Tall,Low,46,True,False,False,Slow,Nervous
P_000018,Hispanic,Female,Light,Child,Traditional,Short,High,36,False,False,True,Fast,Nervous
P_000019,Native American,Non-binary,Light,Child,Traditional,Average,Medium,29,True,True,True,Normal,Confident
P_000020,Middle Eastern,Male,Light,Middle-aged,Casual,Average,High,52,False,False,False,Slow,Nervous
P_000021,White,Non-binary,Light,Young Adult,Alternative,Tall,Medium,12,False,False,True,Fast,Nervous
P_000022,White,Male,Light,Young Adult,Traditional,Tall,High,21,False,False,True,Normal,Confident
P_000023,Hispanic,Male,Light,Senior,Casual,Average,High,64,False,False,True,Fast,Relaxed
P_000024,Asian,Male,Medium,Teen,Formal,Tall,Medium,28,True,False,True,Fast,Confident
P_000025,Black,Male,Dark,Child,Casual,Tall,Medium,52,False,False,True,Normal,Relaxed
P_000026,Middle Eastern,Non-binary,Medium,Child,Traditional,Short,High,12,False,False,False,Fast,Confident
P_000027,Hispanic,Female,Medium,Young Adult,Casual,Average,Low,66,True,False,True,Normal,Tense
P_000028,Native American,Male,Dark,Child,Alternative,Short,Low,72,False,True,True,Fast,Confident
P_000029,Hispanic,Female,Light,Middle-aged,Formal,Average,Low,21,False,False,False,Normal,Relaxed
P_000030,Black,Non-binary,Dark,Child,Traditional,Short,High,62,False,False,True,Normal,Nervous
P_000031,White,Male,Light,Child,Alternative,Tall,Low,73,False,False,True,Fast,Relaxed
P_000032,Native American,Male,Light,Middle-aged,Alternative,Tall,High,66,False,False,True,Slow,Confident
P_000033,Hispanic,Female,Light,Senior,Formal,Average,Medium,73,False,False,True,Fast,Tense
P_000034,White,Male,Light,Middle-aged,Formal,Short,Low,28,False,False,True,Slow,Confident
P_000035,Asian,Non-binary,Dark,Child,Casual,Average,Low,48,True,False,True,Slow,Confident
P_000036,Black,Male,Dark,Teen,Alternative,Average,Medium,38,True,False,False,Normal,Relaxed
